WARD,WARDn,PFN,PFNn,LAD,LADn
S13002902,Bearsden North,S32000018_005,East Dunbartonshire,S12000045,East Dunbartonshire
S13002903,Bearsden South,S32000018_005,East Dunbartonshire,S12000045,East Dunbartonshire
S13002904,Bishopbriggs North and Campsie,S32000018_005,East Dunbartonshire,S12000045,East Dunbartonshire
S13002905,Bishopbriggs South,S32000018_005,East Dunbartonshire,S12000045,East Dunbartonshire
S13002907,Kirkintilloch East and North and Twechar,S32000018_005,East Dunbartonshire,S12000045,East Dunbartonshire
S13002906,Lenzie and Kirkintilloch South,S32000018_005,East Dunbartonshire,S12000045,East Dunbartonshire
S13002901,Milngavie,S32000018_005,East Dunbartonshire,S12000045,East Dunbartonshire
S13002970,Cardonald,S32000018_006,Glasgow South West,S12000049,Glasgow City
S13002971,Govan,S32000018_006,Glasgow South West,S12000049,Glasgow City
S13002969,Greater Pollok,S32000018_006,Glasgow South West,S12000049,Glasgow City
S13002968,Newlands/Auldburn,S32000018_006,Glasgow South West,S12000049,Glasgow City
S13002914,"Barrhead, Liboside and Uplawmoor",S32000018_007,East Renfrewshire,S12000011,East Renfrewshire
S13002917,"Clarkston, Netherlee and Williamwood",S32000018_007,East Renfrewshire,S12000011,East Renfrewshire
S13002916,Giffnock and Thornliebank,S32000018_007,East Renfrewshire,S12000011,East Renfrewshire
S13002915,Newton Mearns North and Neilston,S32000018_007,East Renfrewshire,S12000011,East Renfrewshire
S13002918,Newton Mearns South and Eaglesham,S32000018_007,East Renfrewshire,S12000011,East Renfrewshire
S13002973,Langside,S32000018_008,Glasgow South East,S12000049,Glasgow City
S13002967,Linn,S32000018_008,Glasgow South East,S12000049,Glasgow City
S13002972,Pollokshields,S32000018_008,Glasgow South East,S12000049,Glasgow City
S13002974,Southside Central,S32000018_008,Glasgow South East,S12000049,Glasgow City
S13003133,North East,S32000018_009,Glasgow North East,S12000049,Glasgow City
S13002986,Baillieston,S32000018_009,Glasgow North East,S12000049,Glasgow City
S13002985,Shettleston,S32000018_009,Glasgow North East,S12000049,Glasgow City
S13003050,Airdrie Central,S32000019_001,Monklands and Cumbernauld,S12000050,North Lanarkshire
S13003049,Airdrie North,S32000019_001,Monklands and Cumbernauld,S12000050,North Lanarkshire
S13003053,Airdrie South,S32000019_001,Monklands and Cumbernauld,S12000050,North Lanarkshire
S13003052,Coatbridge South,S32000019_001,Monklands and Cumbernauld,S12000050,North Lanarkshire
S13003051,Coatbridge West,S32000019_001,Monklands and Cumbernauld,S12000050,North Lanarkshire
S13003045,Cumbernauld East,S32000019_001,Monklands and Cumbernauld,S12000050,North Lanarkshire
S13003043,Cumbernauld North,S32000019_001,Monklands and Cumbernauld,S12000050,North Lanarkshire
S13003044,Cumbernauld South,S32000019_001,Monklands and Cumbernauld,S12000050,North Lanarkshire
S13003047,"Gartcosh, Glenboig and Moodiesburn",S32000019_001,Monklands and Cumbernauld,S12000050,North Lanarkshire
S13003042,Kilsyth,S32000019_001,Monklands and Cumbernauld,S12000050,North Lanarkshire
S13003134,"Stepps, Chryston and Muirhead",S32000019_001,Monklands and Cumbernauld,S12000050,North Lanarkshire
S13003048,Coatbridge North,S32000019_001,Monklands and Cumbernauld,S12000050,North Lanarkshire
S13003108,Cambuslang East,S32000019_002,"East Kilbride, Cambuslang and Rutherglen",S12000029,South Lanarkshire
S13003107,Cambuslang West,S32000019_002,"East Kilbride, Cambuslang and Rutherglen",S12000029,South Lanarkshire
